대분류코드,사업자등록번호,순번,특허명칭,IPC코드내용,출원인명,출원번호,특허명,출원날짜,CPC번호,인용수,피인용수,발명자수,청구항수
J,5328700738,1,,,,1020207025650,비대면 본인인증 고객확인 장치 및 그 방법,20200731.0,G06Q40/00,0.0,0.0,3.0,17.0
F,6838100745,1,,,,1020110035363,콘크리트 구조물 보강용 모르타르,20110415.0,C04B16/0675,1.0,1.0,2.0,1.0
J,5038600749,1,,,,1020170108662,사물인터넷IoT의 ID 접근제어 관리 시스템,20170828.0,H04L63/10,0.0,0.0,1.0,11.0
J,2118800752,1,,,,1020140151147,인식방법 및 인식장치,20141103.0,G06F3/00,0.0,0.0,2.0,18.0
J,2208600756,1,,,,1020040050022,인터넷쇼핑몰과 블로그 커뮤니티간의 쇼핑정보전송을 통한 광고 및 수익 분배모델,20040630.0,G06Q30/0222,0.0,0.0,1.0,11.0
C,1138600760,1,,,,1020150053187,정제외관 검사장치,20150415.0,G01N21/9508,0.0,1.0,2.0,8.0
J,1018100764,1,,,,1020020044233,레이어 투 시스템을 이용한 인터넷 연결노드 구현 방법,20020726.0,H04L69/324,0.0,0.0,1.0,4.0
J,1148600766,1,,,,1020210128377,챗봇을 이용한 다국어 지원 시스템 및 방법,20210928.0,G06Q50/10,1.0,0.0,1.0,20.0
G,2568100771,1,,,,1020210145109,수출입 화물 물류 및 통관에 대한 중개 방법,20211028.0,G06Q10/087,0.0,0.0,1.0,1.0
J,5468700775,1,,,,1020190071769,고객 문의에 대한 유형 분류에 기초한 담당자 배정 시스템 및 방법,20190617.0,G06Q30/0281,1.0,0.0,3.0,13.0
J,2728800781,1,,,,1020190087791,웹 브라우저상의 교수학습활동을 감지하여 웹서버에 전송하는 빅데이터 시스템,20190719.0,G06Q50/20,1.0,0.0,1.0,1.0
J,1108100798,1,,,,2020060000738,휴대전화 비상배터리겸용 클리너,20060110.0,H04M1/21,0.0,0.0,1.0,5.0
J,1208100799,1,,,,1019990044098,원격 조정 데이터 복원 시스템 및 이를 이용한 데이터 복원 방법,19991012.0,G06F11/1435,0.0,1.0,1.0,8.0
M,3278700803,1,,,,1020140032378,점자 표시 장치,20140319.0,G09B21/00,0.0,0.0,1.0,5.0
J,1138100806,1,,,,1020060048046,프로젝트를 이용한 스테레오 영상결합장치,20060529.0,G02B27/288,0.0,0.0,4.0,1.0
F,1248700811,1,,,,1019990022922,단섬유들로 성형된 항균성 정수용 필터 및 그 제조방법,19990618.0,B01D39/18,0.0,2.0,1.0,4.0
J,5598100813,1,,,,1020200028991,사용자의 성향 및 몰입정도에 기반한 콘텐츠 추천 방법 및 제공장치,20200309.0,A61B5/163,0.0,0.0,2.0,9.0
