사업자등록번호,조사년도,매출액,영업이익,당기순이익
1208800118,2016.0,8349796.0,344195.0,338622.0
1208800118,2017.0,8319491.0,-791455.0,-855535.0
1208800118,2018.0,6918000.0,-1661000.0,-1640000.0
1238100120,2020.0,253481518.0,1216465.0,17862497.0
1238100120,2020.0,253481518.0,1216465.0,17862497.0
1238100120,2019.0,226977558.0,-8929859.0,2627232.0
1238100120,2019.0,226977558.0,-8929859.0,2627232.0
1238100120,2018.0,179586010.0,-1944925.0,-668115.0
1238100120,2018.0,179586010.0,-1944925.0,-668115.0
1238100120,2017.0,161140535.0,2331862.0,2871851.0
1238100120,2017.0,161140535.0,2331862.0,2871851.0
5038100124,2020.0,3638244.0,382748.0,450043.0
5038100124,2019.0,3036828.0,450919.0,461899.0
5038100124,2018.0,2069986.0,164479.0,168557.0
5038100124,2017.0,1813736.0,116824.0,169765.0
1078600127,2019.0,14203349.0,1005189.0,917243.0
1078600127,2018.0,12118841.0,840559.0,705035.0
1078600127,2020.0,13080838.0,1091807.0,1048188.0
1078600127,2017.0,12265834.0,843438.0,670776.0
1058100131,2020.0,1768202.0,259931.0,149099.0
1058100131,2019.0,1117127.0,68389.0,15543.0
1058100131,2018.0,1118294.0,132801.0,103692.0
1058100131,2017.0,1137000.0,189000.0,27000.0
3678100132,2020.0,184025.0,-286684.0,83695.0
3678100132,2019.0,49855.0,-708851.0,-62353.0
3678100132,2018.0,160157.0,-605798.0,-195374.0
3678100132,2017.0,30000.0,-279046.0,-71870.0
1058600133,2020.0,31866798.0,480441.0,333759.0
1058600133,2020.0,31866798.0,480441.0,333759.0
1058600133,2019.0,31543335.0,442248.0,285104.0
1058600133,2019.0,31543335.0,442248.0,285104.0
1148600135,2020.0,938009.0,99099.0,92735.0
1148600135,2019.0,1483732.0,71194.0,66797.0
1098600139,2020.0,17768548.0,4868668.0,4244736.0
1098600139,2019.0,3391961.0,-110472.0,-185705.0
1098600139,2018.0,297635.0,-677747.0,-659434.0
2118700140,2020.0,10122954.0,174340.0,210541.0
2118700140,2019.0,7134543.0,-3444895.0,-6201650.0
2118700140,2019.0,7134543.0,-3444895.0,-6201650.0
2118700140,2018.0,11972156.0,2009477.0,888241.0
2118700140,2018.0,11972156.0,2009477.0,888241.0
2118700140,2017.0,10634414.0,787727.0,-1300320.0
1028100142,2016.0,284093265.0,55680274.0,37515485.0
1028100142,2017.0,220937437.0,12927934.0,4399442.0
1028100142,2018.0,205638035.0,3734245.0,-7360332.0
1028100142,2019.0,195508528.0,3576913.0,2682983.0
1028100142,2020.0,186070865.0,-257684.0,-1035552.0
2018100143,2016.0,11467706.0,580066.0,251039.0
2018100143,2017.0,11297636.0,733770.0,429127.0
2018100143,2018.0,11757812.0,626384.0,273116.0
2018100143,2019.0,10694751.0,557994.0,221943.0
2018100143,2020.0,11321918.0,894768.0,535259.0
1273000144,2020.0,877119.0,112120.0,62017.0
1273000144,2019.0,789743.0,104354.0,50008.0
1273000144,2018.0,808927.0,108269.0,55833.0
1273000144,2017.0,806509.0,112151.0,52093.0
1188100145,2020.0,7056484.0,-133061.0,398314.0
1188100145,2020.0,7056484.0,-133061.0,398314.0
1188100145,2019.0,11933521.0,1286145.0,576571.0
1188100145,2019.0,11933521.0,1286145.0,576571.0
1188100145,2018.0,12306073.0,1469080.0,-592729.0
1188100145,2018.0,12306073.0,1469080.0,-592729.0
1188100145,2017.0,11283191.0,715259.0,489167.0
1188100145,2017.0,11283191.0,715259.0,489167.0
1208700146,2019.0,951551.0,136087.0,111645.0
1208700146,2018.0,534484.0,5733.0,717.0
1098100149,2020.0,200989044.0,18661346.0,13411135.0
1098100149,2020.0,200989044.0,18661346.0,13411135.0
1098100149,2019.0,129001826.0,11616610.0,9551153.0
1098100149,2019.0,129001826.0,11616610.0,9551153.0
1098100149,2018.0,140060391.0,9444832.0,7537926.0
1098100149,2018.0,140060391.0,9444832.0,7537926.0
1098100149,2017.0,139446895.0,5787216.0,4072956.0
1098100149,2017.0,139446895.0,5787216.0,4072956.0
1148600150,2016.0,13024241.0,610638.0,565916.0
1148600150,2017.0,17203847.0,664806.0,620811.0
1148600150,2018.0,13498345.0,1018787.0,78467.0
1148600150,2019.0,34289451.0,2128383.0,1971553.0
