대분류코드,사업자등록번호,순번,특허명칭,IPC코드내용,출원인명,출원번호,특허명,출원날짜,CPC번호,인용수,피인용수,발명자수,청구항수
J,6188600682,2,딥러닝 기술을 활용한 화학물질 안전관리의 질의응답 관리시스템,G06N-003/02,주헤**,1020170183435,,,,0.0,0.0,0.0,0.0
J,8898600686,2,"침수 지역 추적 시스템, 방법 및 상기 방법을 실행시키기 위한 컴퓨터 판독 가능한 프로그램을 기록한 기록 매체 ",G06Q-050/10,주식회사 피에스***,1020160052285,,,,0.0,0.0,0.0,0.0
J,2208700691,2,"빅데이터의 분석 결과를 제공하기 위한 방법, 서버 및 컴퓨터 판독 가능한 기록 매체",G06F-017/30,에스케이텔레콤 주***,1020160000994,,,,0.0,0.0,0.0,0.0
J,1058700693,2,영상 합성 장치 및 방법,H04N-009/73,스타십벤딩머신 주***,1020150041759,,,,0.0,0.0,0.0,0.0
F,6668700698,2,통합 리모컨의 기능 설정 방법,H04Q-009/04,주 미래정***,1020070039282,,,,0.0,0.0,0.0,0.0
G,1318600706,2,공인 인증서를 탑재한 유에스비토큰,,주엔라인***,3020020036520,,,,0.0,0.0,0.0,0.0
J,3998100710,2,모바일 디바이스 ,G06N-003/08,디우스 주***,1020200111496,,,,0.0,0.0,0.0,0.0
M,1058600711,2,책상,,아토디자인 주***,3020170058915,,,,0.0,0.0,0.0,0.0
F,1208700713,2,좌석 관리 시스템,G06Q-050/26,쓰리엘랩스 주***,1020190031696,,,,0.0,0.0,0.0,0.0
J,1148100722,2,무선통신단말기를 이용한 인터넷 전자상거래용 이용자인증 시스템 및 방법,G06Q-020/00C0,주코테크***,1020000000061,,,,0.0,0.0,0.0,0.0
J,3598800724,2,통화 내용 음성텍스트 변환 녹취록 생성 시스템,G10L-015/26,주 미스***,1020170177343,,,,0.0,0.0,0.0,0.0
F,1068600727,2,산업용 저장 장치,G11B-020/10,주인**,2020100009554,,,,0.0,0.0,0.0,0.0
M,1358600729,2,가동보 시스템,E02B-007/20,주 에스앤비하***,1020100008746,가동보 시스템,20100129.0,E02B7/44,1.0,2.0,2.0,3.0
F,5048100736,2,"플러그 삽입에 의한 콘센트의 대기 전류 자동 셋팅 및 자동 차단 감시 시스템 및 그 제어 방법, 그리고 플러그 삽입 감지부",H01R-013/703,주식회사 네트워크***,1020160062112,,,,0.0,0.0,0.0,0.0
J,1168100739,2,서버 보안 강화를 위한 접근 통제 방법 및 장치,H04L-029/06,펜타시스템테크놀러지 주***,1020150040664,,,,0.0,0.0,0.0,0.0
J,6138700740,2,다중 센서 핸드오버 기술을 이용한 주차 서비스 시스템,G08G-001/123,라이트비전 주***,1020200164900,다중 센서 핸드오버 기술을 이용한 주차 서비스 시스템,20201130.0,G08G1/146,1.0,0.0,3.0,1.0
Q,2638700743,2,저전력 비콘 시스템 및 방법,H04L-012/26,주식회사 커***,1020170016191,저전력 비콘 시스템 및 방법,20170206.0,H04L12/12,0.0,0.0,3.0,16.0
J,5688700744,2,알킬이소시아네이트의 제조 방법,C07C-265/04,케이에***,1020090091450,알킬이소시아네이트의 제조 방법,20090928.0,C07C263/02,2.0,0.0,2.0,9.0
C,1298100750,2,무선국 검사 관리 시스템을 이용한 무선국 검사 관리 방법,H04B-010/077,주식회사 ***,1020160174606,,,,0.0,0.0,0.0,0.0
C,8138100753,2,자기공명영상장치의 무선주파수 전력증폭장치,H03F-003/189,주식회사 지에스***,1020190026096,자기공명영상장치의 무선주파수 전력증폭장치,20190307.0,G01R33/3614,0.0,0.0,2.0,2.0
G,1061100757,1,프리세팅 가능한 펜들럼 교량받침,E01D-021/00,주식회사 두드***,1020210180935,,,,0.0,0.0,0.0,0.0
F,1308600762,2,스톱퍼가 구비된 안과용 눈 보호구,A61F-009/04,주제이**,2020140006929,,,,0.0,0.0,0.0,0.0
J,1178100763,2,장외파생상품 통합 관리 방법 및 시스템,G06F-017/30,주아이티***,1020160024023,,,,0.0,0.0,0.0,0.0
J,2208100768,2,의료 데이터 처리 장치 및 이를 포함하는 스마트 의료선,G06F-019/00,주식회사 비트***,1020170095346,,,,0.0,0.0,0.0,0.0
J,2208800770,2, 코드를 이용한 광고 콘텐츠 제공 기능을 구비한 단말 및 서버,G06Q-030/02,주식회사 바***,1020120041095,,,,0.0,0.0,0.0,0.0
G,2628600772,2,지능형 쇼핑 관리시스템,G06Q-030/06,주식회사 마인***,1020170017343,,,,0.0,0.0,0.0,0.0
J,3148600773,2,블로그 수집 장치 및 그 제어방법,H04L-029/06,주식회사 ***,1020160079584,블로그 수집 장치 및 그 제어방법,20160624.0,G06Q50/10,0.0,0.0,2.0,13.0
J,5028100774,2,차량 순정리모콘을 이용한 원격도어시스템 및 원격도어제어방법,E05B-019/00,주식회사 ***,1020160146681,,,,0.0,0.0,0.0,0.0
J,4028800777,2,프로그램의 동적 최적화 방법 및 장치,G06F-009/46,주식회사 노트***,1020170037028,,,,0.0,0.0,0.0,0.0
J,8848700779,2,장애를 예측하기 위한 관리서버,G06Q-010/06,주식회사 아이옵스테크***,1020190121334,장애를 예측하기 위한 관리서버,20191001.0,G06Q10/0635,0.0,0.0,1.0,3.0
J,6398800782,2,포스 시스템 ,G07G-001/14,주비욘***,1020170046548,,,,0.0,0.0,0.0,0.0
J,6968700783,2,센서 데이터를 이용한 동물 행동 분석 방법 및 장치,A61B-005/11,주 **,1020190070708,센서 데이터를 이용한 동물 행동 분석 방법 및 장치,20190614.0,A61B5/7275,0.0,0.0,4.0,10.0
J,1198600785,2,패킷 처리 장치 및 방법,H04L-012/851,매니코어소프트주***,1020160075336,,,,0.0,0.0,0.0,0.0
N,1058700787,2,장식용 조명등,,컴퍼니에스***,3020130053968,,,,0.0,0.0,0.0,0.0
G,1262200790,1,마스크,,주식회사 ***,3020220031653,,,,0.0,0.0,0.0,0.0
G,1148600795,2,시스템 프로세스 정보를 이용한 클라우드 마이그레이션 데이터 분석 방법 및 그 시스템 ,G06F-011/32,주식회사 오픈소스***,1020210024516,,,,0.0,0.0,0.0,0.0
N,2068600800,2,체공체험 시뮬레이션 장치 ,F16H-007/08,주식회사 알***,1020190084623,체공체험 시뮬레이션 장치,20190712.0,G09B9/00,0.0,0.0,3.0,7.0
J,2908700801,2,의류 또는 잡화 부착 디스플레이 시스템 및 방법,G06F-003/14,주킨사**,1020190072078,,,,0.0,0.0,0.0,0.0
J,3128600802,2,반응형 웹사이트 빌더 시스템 및 그 방법,G06Q-050/10,주식회사 넥스***,1020160002940,반응형 웹사이트 빌더 시스템 및 그 방법,20160109.0,G06F17/3089,0.0,0.0,1.0,15.0
G,2438600805,2,점핑 완구,A47D-013/10,주식회사 유아용품***,1020200036996,점핑 완구,20200326.0,A47D13/107,1.0,0.0,1.0,5.0
J,1298100808,2,도시 하천 관리를 위한 연계 플랫폼,G06Q-050/26,주식회사 제***,1020190122361,,,,0.0,0.0,0.0,0.0
J,5388600809,2,안테나 구조체 및 이를 포함하는 화상 표시 장치,H01Q-001/46,크리모 주***,1020210087566,,,,0.0,0.0,0.0,0.0
M,1568100812,2,스케쥴된 방송 편성표 또는 영상 다시 보기 서비스에 기반한 상품 판매 영상을 제공하는 상품 판매 시스템,G06Q-050/10,주식회사 가***,1020210011313,스케쥴된 방송 편성표 또는 영상 다시 보기 서비스에 기반한 상품 판매 영상을 제공하는 상품 판매 시스템,20210127.0,G06Q30/0601,1.0,0.0,1.0,1.0
J,6928800814,2,공작설비 이상 감지 모니터링 방법,G05B-023/02,주아**,1020200031086,,,,0.0,0.0,0.0,0.0
J,8098600815,2,원가 계산 통합자원 관리장치 및 방법,G06Q-050/08,주하우***,1020180002846,,,,0.0,0.0,0.0,0.0
G,1028100816,2,스마트 스킨 케어 디바이스의 구동 제어 방법 ,A45D-044/22,주식회사 모노글로트***,1020210118653,,,,0.0,0.0,0.0,0.0
J,1138600820,2,통합 메시징 서비스 시스템,G06Q-050/30,주프리**,1020140170161,통합 메시징 서비스 시스템,20141202.0,G06Q50/30,0.0,0.0,1.0,6.0
J,1208600823,2,효율적인 물류를 위한 자동 배차 시스템 및 방법,G06Q-010/10,엠케이얼라이언스 주***,1020190062996,,,,0.0,0.0,0.0,0.0
M,3138600825,2,인덕션 레인지,,비케이아***,3020210017677,,,,0.0,0.0,0.0,0.0
F,3238800826,2,밀폐형 구조의 고정자 코어 유닛 조립체,H02K-001/20,세원이***,1020200177772,,,,0.0,0.0,0.0,0.0
F,6138100831,2,모션 디텍팅 기술을 이용하여 가로등의 전원제어가 가능한 영상감시시스템,F21S-008/08,주식회사 송림***,1020180150897,,,,0.0,0.0,0.0,0.0
J,7868700833,2,먼지필터용 케이스,,주에이원아***,3020100028470,,,,0.0,0.0,0.0,0.0
J,1138600836,2,"보이스 피싱 방지 방법, 보이스 피싱 방지 서버, 이를 위한 컴퓨터 프로그램 ",H04M-001/64,주에스***,1020190077226,,,,0.0,0.0,0.0,0.0
C,1108600840,2,휴대단말기용 촉각 제공 패드,,주식회사 씨케이머티리***,3020190008103,,,,0.0,0.0,0.0,0.0
J,1208800841,2,"스마트 단말기와 IoT 디바이스간 양방향 통신을 이용한 홈 네트워킹 서비스 제공 방법, 이를 운용하기 위한 장치 및 시스템",H04N-021/4363,주식회사 에이앤티***,1020170051257,,,,0.0,0.0,0.0,0.0
F,7948700843,2,먼지필터용 케이스,,주에이원아***,3020100028470,,,,0.0,0.0,0.0,0.0
F,6198600844,2,연소 공기를 이용하여 건조와 연소를 동시에 갖는 고습 연료 직접 연소 장치,F23G-005/38,주식회사 씨디에스테크***,1020170062137,,,,0.0,0.0,0.0,0.0
